# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Wed Jan 18 21:18:40 2023
# Spectral unit: Wavelength[nm]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2 Rayleigh CIA
3.646445006e+02 7.72543e-01 9.99990e-01 9.99999e-01 9.99930e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.72676e-01 9.99905e-01
3.648268228e+02 7.72940e-01 9.99990e-01 9.99999e-01 9.99910e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.73074e-01 9.99924e-01
3.650092362e+02 7.73356e-01 9.99995e-01 9.99999e-01 9.99913e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.73472e-01 9.99940e-01
3.651917408e+02 7.73766e-01 9.99991e-01 9.99999e-01 9.99921e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.73868e-01 9.99953e-01
3.653743367e+02 7.74177e-01 9.99993e-01 9.99999e-01 9.99927e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.74265e-01 9.99963e-01
3.655570239e+02 7.74580e-01 9.99996e-01 9.99999e-01 9.99925e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.74661e-01 9.99971e-01
3.657398024e+02 7.74981e-01 9.99994e-01 9.99999e-01 9.99928e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.75056e-01 9.99978e-01
3.659226723e+02 7.75386e-01 9.99995e-01 9.99999e-01 9.99935e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.75450e-01 9.99984e-01
3.661056336e+02 7.75790e-01 9.99996e-01 9.99999e-01 9.99943e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.75844e-01 9.99988e-01
3.662886864e+02 7.76192e-01 9.99997e-01 9.99999e-01 9.99951e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.76238e-01 9.99990e-01
3.664718308e+02 7.76589e-01 9.99997e-01 9.99999e-01 9.99954e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.76631e-01 9.99992e-01
3.666550667e+02 7.76986e-01 9.99997e-01 9.99999e-01 9.99959e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.77023e-01 9.99994e-01
3.668383942e+02 7.77384e-01 9.99998e-01 9.99999e-01 9.99964e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.77415e-01 9.99996e-01
3.670218134e+02 7.77779e-01 9.99998e-01 9.99999e-01 9.99968e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.77806e-01 9.99996e-01
3.672053243e+02 7.78171e-01 9.99998e-01 9.99999e-01 9.99969e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.78196e-01 9.99997e-01
3.673889270e+02 7.78563e-01 9.99998e-01 9.99999e-01 9.99971e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.78586e-01 9.99998e-01
3.675726215e+02 7.78952e-01 9.99998e-01 9.99999e-01 9.99971e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.78975e-01 9.99999e-01
3.677564078e+02 7.79340e-01 9.99998e-01 9.99999e-01 9.99969e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.79364e-01 9.99999e-01
3.679402860e+02 7.79727e-01 9.99998e-01 9.99999e-01 9.99967e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.79752e-01 9.99999e-01
3.681242561e+02 7.80111e-01 9.99998e-01 9.99999e-01 9.99963e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.80140e-01 9.99999e-01
3.683083183e+02 7.80490e-01 9.99999e-01 9.99999e-01 9.99951e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.80527e-01 9.99999e-01
3.684924724e+02 7.80868e-01 9.99999e-01 9.99999e-01 9.99941e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.80913e-01 9.99999e-01
3.686767186e+02 7.81251e-01 9.99999e-01 9.99999e-01 9.99938e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.81299e-01 9.99999e-01
3.688610570e+02 7.81640e-01 9.99999e-01 9.99999e-01 9.99942e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.81684e-01 9.99999e-01
3.690454875e+02 7.82029e-01 9.99999e-01 9.99999e-01 9.99948e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.82069e-01 9.99999e-01
3.692300103e+02 7.82418e-01 9.99999e-01 9.99999e-01 9.99954e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.82453e-01 9.99999e-01
3.694146253e+02 7.82805e-01 9.99999e-01 9.99999e-01 9.99959e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.82837e-01 9.99999e-01
3.695993326e+02 7.83192e-01 9.99999e-01 9.99999e-01 9.99964e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.83220e-01 9.99999e-01
3.697841323e+02 7.83578e-01 9.99999e-01 9.99999e-01 9.99968e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.83602e-01 9.99999e-01
3.699690243e+02 7.83962e-01 9.99999e-01 9.99999e-01 9.99972e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.83984e-01 9.99999e-01
3.701540088e+02 7.84343e-01 9.99999e-01 9.99999e-01 9.99972e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.84365e-01 9.99998e-01
3.703390858e+02 7.84725e-01 9.99998e-01 9.99999e-01 9.99974e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.84746e-01 9.99998e-01
